NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Hoodless, Adelaide Hunter","Hoodless, Adelaine Hunter",359 Blue Lake Road,<Null>,St. George,Ontario,"Advocate of domestic reform; active in YWCA, National Council of Women and VON; active in founding three faculties of household science and the Womens' Institutes",Engagée dans la fondation d'instituts de sciences domestiques et d'instituts féminins,43.236867,-80.296783
"Howay, Frederic William","Howay, Frederic William",91 Courtney Crescent,F. W. Howay Elementary School,New Westminster,British Columbia,"Historian of British Columbia, president of the Royal Society of Canada (1941)","Historien de la Colombie-Britannique, président de la Société royale du Canada (1941)",49.225983,-122.912283
"Howe, Clarence Decatur","Howe, Clarence Decatur",Bobby Curtola Drive,Marina Park,Thunder Bay,Ontario,"Important Liberal cabinet minister, began Atomic Energy of Canada","Important ministre libéral du Cabinet, l'origine d'Énergie atomique du Canada",48.43795,-89.2125
"Howe, Joseph","Howe, Joseph",<Null>,<Null>,Halifax,Nova Scotia,"Premier of Nova Scotia (1860-63), achieved responsible government in Nova Scotia","Premier ministre de la Nouvelle-Écosse (1860-1863), l'origine du gouvernement responsable en Nouvelle-Écosse",44.647481,-63.57246
"Howland, Sir William Pearce","Howland, sir William Pearce",Old Dundas St.,On the lawn of the historic Lambton Inn,Toronto,Ontario,Father of Confederation,Père de la Confédération,43.663033,-79.503483
"Hudson, Henry","Hudson, Henry",<Null>,<Null>,*    Fort Rupert,Quebec,"Arctic explorer, discovered Hudson Bay, James Bay","Explorateur de l'Arctique, découvreur de la baie d'Hudson et de la baie James",51.47908,-78.747517
"Hughes, Sir Samuel","Hughes, sir Samuel",210 Kent Street,front of the Armoury Building,Lindsay,Ontario,"Soldier, journalist, federal Minister of Militia and Defence (1911-16)","Soldat, journaliste, ministre fédéral de la Milice et de la Défense (1911-1916)",44.35405,-78.74195
"Hull, William Roper","Hull, William Roper",15979 Bow Bottom Trail SE,Bow Valley Ranch,Calgary,Alberta,"Cattleman, entrepreneur, philanthropist, land developer","Éleveur, entrepreneur, philanthrope, promoteur de l'aménagement des terres",50.910065,-114.01667
"Hunt, George","Hunt, George",<Null>,<Null>,*    Fort Rupert,British Columbia,"Ethnographer, collector, West Coast cultures","Ethnographe, collectionneur, spécialiste des cultures de la côte Ouest",50.697474,-127.425576
"Hébert, Louis-Philippe","Hébert, Louis-Philippe",Main Highway,<Null>,Sainte-Sophie (d'Halifax),Quebec,Principal Quebec sculptor of the late 19th-century,Chef de file des sculpteurs québécois de la fin du XIXe siècle,46.156475,-71.70903
"Innis, Harold Adams","Innis, Harold Adams",St. George Street,"on wall of building (Innis College), University of Toronto",Toronto,Ontario,"Historian and economist, leader in communications theory","Historien et économiste, chef de file en théorie des communications",43.6656,-79.39925
Ipirvik and Taqulittuq (Ebierbing et Tookoolito),Ipirvik and Taqulittuq (Ebierbing et Tookoolito),<Null>,<Null>,Iqaluit,Nunavut,"Inuit couple from Baffin Island, assisted Arctic expeditions in 1860s and 1870s",Couple inuit de l'île de Baffin qui a aidé les explorateurs de l'Arctique dans les années 1860-1870,63.753845,-68.507168
Isapó'ó'mahsika (Isapo-Muxika   Crowfoot),Isapó'ó'mahsika (Isapo-Muxika   Crowfoot),<Null>,"North of Crowfoot Hall, west of Gleichen Highway",Gleichen,Alberta,"Blackfoot chief, diplomat, established peace with the Plains Cree; Northwest Rebellion 1885","Chef des Pieds-Noirs, diplomate qui a établi la paix avec les cris des plaines; Rébellion du Nord-Ouest",50.866323,-113.052561
"Isbister, James","Isbister, James",<Null>,<Null>,*    Prince Albert,Saskatchewan,Leader of English Métis during critical time in their history; 1870s and 1880s,Chef des Métis anglophones à une étape critique de leur histoire; dans les années 1870 et 1880,53.2,-105.766667
"Jackson, Alexander Young","Jackson, Alexander Young",10365 Islington Avenue,Mounted on rock near McMichael Gallery parking lot.,Kleinburg,Ontario,"Member of the Group of Seven painters, landscapes in Ontario and Quebec","Membre du Groupe des Sept, paysages de l'Ontario et du Québec",43.842412,-79.619562
"Jefferys, Charles William","Jefferys, Charles William",1 Kings College Circle,West end of the Medical Sciences Building,Toronto,Ontario,"Artist, drawings and paintings of historical themes","Artiste, dessins et peintures de thèmes historiques",43.66105,-79.394483
"Jenness, Diamond","Jenness, Diamond",240 McLeod Street,Foyer Entrance of National Museum of Nature,Ottawa,Ontario,"Anthropologist, field studies on Copper Inuit, discovered Dorset culture","Anthropologue, études sur le terrain des Inuit du cuivre, a défini la culture Dorset",45.412616,-75.688592
"Jetté, Sir Louis-Amable","Jetté, sir Louis-Amable",corner of Notre-Dame et Saint-Étienne,LeSueur Park,L'Assomption,Quebec,"Lieutenant-Governor of Quebec (1898-1908), Chief Justice of Quebec (1908-11)","Lieutenant-gouverneur du Québec (1898-1908), juge en chef du Québec (1908-1911)",45.825141,-73.422049
"Joe, Sylvester","Joe, Sylvester",<Null>,<Null>,Conne River,Newfoundland and Labrador,Aboriginal guide who contributed to the exploration and mapping of Newfoundland,Guide autochtone qui a contribué à l'exploration et à la cartographie de Terre-Neuve,47.863441,-55.755889
"Johns, Ethel","Johns, Ethel",<Null>,University of British Columbia Hospital Urgent Care Centre,*    Vancouver,British Columbia,"Nursing leader, educator and nurse administrator, campaigned for the advancement of the nursing profession in Canada for over fifty years","Comme leader en soins infirmiers, enseignante et infirmière administratrice, elle a milité pour l'avancement de la profession d'infirmière au Canada pendant plus de cinquante ans",49.264864,-123.244489
"Johnson, E. Pauline (Tekahionwakeh)","Johnson, E. Pauline (Tekahionwakeh)",Highway 54,Chiefswood NHSC,Six Nations Grand River Reserve,Ontario,"Mohawk poet, gave series of speaking tours (1892-1910)","Poète agnière, auteure d'une série de conférences (1892-1910)",43.0995,-80.0952
"Johnson, Edward","Johnson, Edward",<Null>,<Null>,**   Guelph,Ontario,"Opera singer, general manager of the Metropolitan Opera Company (1935-50)","Chanteur d'opéra, directeur général de la Metropolitan Opera Company (1935-1950)",43.544155,-80.247827
"Johnson, John Mercer","Johnson, John Mercer",171 Duke Street,wall of RCMP Canada Firearms Centre,Miramichi / Chatham,New Brunswick,Father of Confederation,Père de la Confédération,47.0307,-65.46741
"Jolliet, Louis","Jolliet, Louis",du Petit Champlain Street,On monument beside old house,Québec,Quebec,"With Marquette, explored the Mississippi River (1673)",A exploré le Mississippi en compagnie du Père Marquette (1673),46.812211,-71.203662
"Judge, Father William, S. J.","Judge, père William S. J.",<Null>,On a rock on the site of the former St. Mary Hospital,Dawson,Yukon Territory,Missionary in Dawson during Klondike Gold Rush (1897-98),Missionnaire à Dawson au cours de la ruée vers l'or du Klondike (1897-1898),64.069862,-139.425446
"Jónasson, Sigtryggur","Jónasson, Sigtryggur",<Null>,<Null>,*    Riverton,Manitoba,Played a key parliamentary role in the introduction of social welfare legislation that supported core Canadian values,A joué un rôle de premier plan aux Communes dans l'adoption de lois sociales avec les valeurs fondamentales des Canadiennes et des Canadiens,50.995622,-96.999721
"Kahanovitch, Israel Isaac","Kahanovitch, Israel Isaac",123 Doncaster Street,Asper Jewish Community Campus,*    Winnipeg,Manitoba,Transcended religious and secular Jewish factions to become a community leader throughout the Prairies,"A su rester au-dessus des factions religieuses et laïques juives, il est devenu un leader communautaire à l'échelle des Prairies",49.871918,-97.208421
Kahkewaquonaby (Reverend Peter Jones),Kahkewaquonaby (révérend Peter Jones),<Null>,reserve of the Mississaugas of the New Credit First Nation,New Credit,Ontario,Mississauga chief and Methodist minister; first to make Ojibwa a written language,Chef mississauga et pasteur méthodiste; le premier à faire de l'ojibway une langue écrite,42.999667,-80.094717
"Kane, Paul","Kane, Paul",<Null>,"Rocky Mountain House NHSC, on Chimney Trail near Visitor Centre",Rocky Mountain House,Alberta,"Painter, depicted people and landscapes of the Canadian West",Peintre de personnages et de paysages de l'Ouest canadien,52.363264,-114.967243
"Keefer, Thomas Coltrin","Keefer, Thomas Coltrin",Fleet Street,Fleet Street Pumping Station,Ottawa,Ontario,"Hydraulics engineer, railway promoter, built the Hamilton Waterworks","Ingénieur hydraulique, promoteur des chemins de fer, constructeur du château d'eau à Hamilton",45.4164,-75.710983
"Kelsey, Henry","Kelsey, Henry",<Null>,Devon Park,The Pas,Manitoba,"Explorer, fur trader, journey to the Canadian Plains (1690-92)","Explorateur, commerçant de fourrure, voyage dans les plaines canadiennes (1690-92)",53.82855,-101.255503
"Kennedy, Sir John","Kennedy, sir John",<Null>,Port of Montréal,Montréal,Quebec,Transformed the Montréal harbour into a 20th-century international port complex; one of Canada's outstanding early civil engineers,A transformé le port de Montréal en un complexe portuaire international du XXe siècle; considéré comme un des grands ingénieurs civils au Canada,45.551375,-73.527852
"King, Dr. William Frederick","King, William Frederick",Observatory Lane,"Dominion Observatory, Central Experimental Farm NHSC",Ottawa,Ontario,"Founder of the Geodetic Survey of Canada, Dominion Observatory",Fondateur des commission géodésique nationale et de l'Observatoire national,45.393517,-75.71415
"King, Reverend William","King, Reverend William",<Null>,St. Andrew's Church,*    Buxton,Ontario,His efforts brought him international acclaim and focused attention on the Abolition Movement in British North America,Ses efforts lui ont valu les éloges de la communauté internationale et ont attiré l'attention sur le mouvement abolitionniste en Amérique du Nord britannique,42.27435,-82.182005
"King, William Lyon MacKenzie","King, William Lyon Mackenzie",528 Wellington Street North,on path at parking lot leading to residence Woodside NHSC,Kitchener,Ontario,"Longest serving Prime Minister of Canada (1921-26, 1926-30, 1935-48), through World War II","Premier ministre du Canada (1921-1926, 1926-1930, 1935-1948); son mandat fut le plus long, englobant toute la Seconde Guerre mondiale",43.4642,-80.480833
"Kingsmill, Admiral Sir Charles Edmund","Kingsmill, amiral sir Charles Edmund",<Null>,<Null>,*    Ottawa,Ontario,"First director of Canada’s earliest naval force, the Canadian Naval Service; from its founding in 1910 until his retirement in 1920","A été le premier directeur de la première marine permanente du Canada, le Service naval du Canada de la création de celle-ci en 1910 jusqu'à sa retraite en 1920",45.440019,-75.694612
"Kirby, William","Kirby, William",26 Queen Street,on right hand pillar of front entrance to Town Hall,Niagara-on-the-Lake,Ontario,"Journalist, novelist, poet, historian, ""Annals of Niagara"", 1896","Journaliste, romancier, poète, historien, «Annals of Niagara», 1896",43.2548,-79.071883
"Kirke, Sir David","Kirke, sir David",<Null>,"near the entrance to The Downs, Mounted next to Colony of Avalon NHS plaque",Ferryland,Newfoundland and Labrador,"Captured Quebec 1629, first Governor of Newfoundland (1637-51)","S'empara de Québec en 1629, premier gouverneur de Terre-Neuve (1637-1651)",47.023962,-52.884294
"Klein, Abraham Moses","Klein, Abraham Moses",4857 Hutchison Street,<Null>,*    Montréal,Quebec,Leading figure in Judaic literature and a major author in Canadian literary history,Une figure de proue de la littérature judaïque et un écrivain majeur dans l'histoire de la littérature canadienne,45.518062,-73.594211
"Klotz, Otto Julius","Klotz, Otto Julius",King and Argyle Streets,Municipal Building,Preston,Ontario,"Astronomer, geographer, director of the Dominion Observatory (1917-23)","Directeur de l'Observatoire national (1917-1923), astronome et géographe",43.3968,-80.3592
"Koerner, Leon Joseph","Koerner, Leon Joseph",355 Burrard Street,Marine Building,*    Vancouver,British Columbia,Became a leading figure in the British Columbia forest industry by developing an innovative use of western hemlock and promoting progressive forestry practices,Est devenu un chef de file de l'industrie forestière de la Colombie-Britannique en trouvant une toute nouvelle utilité à la pruche occidentale et en favorisant des pratiques forestières plus évoluées,49.287399,-123.116629
Kondiaronk,Kondiaronk,Pointe-à-Callière,In park on,Montréal,Quebec,Played a pivotal role in facilitating negotiations which culminated in the Treaty of 1701,A joué un rôle de premier plan dans les négociations qui devaient aboutir à la conclusion de la Grande Paix de 1701,45.501618,-73.555139
"Krieghoff, Cornelius","Krieghoff, Cornelius",115 Grande Allée Avenue (at Cartier Ave.),<Null>,Québec,Quebec,"Painter, portrayed landscapes, rural people of Quebec","Peintre, paysages, scènes de la vie des paysans du Québec",46.802039,-71.223791
"Kw'eh, Chief","Kw'eh, Chief",<Null>,<Null>,*    Fort St. James,British Columbia,Used kinship ties as well as personal qualities and gifts to gain traditional rights and leadership over a wide territory and numerous Carrier communities,A mis à profit ses liens de parenté ainsi que ses qualités et ses dons exceptionnels pour obtenir des droits traditionnels et acquérir de l'autorité sur un vaste territoire et de communautés carrier,54.435558,-124.257388
"La Boularderie, Sieurs de","La Boularderie, sieurs de",Little Bras d'Or - Alder Point Highway,<Null>,Alder Point,Nova Scotia,"Louis-Simon (1674-1738), son Antoine (1705-71), Cape Breton settlers; flourished 1720-1747","Louis-Simon (1674-1738), son fils Antoine (1705-1771), colons de l'île du Cap-Breton",46.308822,-60.280722
"La Corne, Louis-François de","La Corne, Louis-François de",<Null>,"James Smith Indian Reserve, 30.4 km North of Kinistino",Kinistino,Saskatchewan,"Established ""Fort-à-la-Corne"" in Saskatchewan (1753)",A établi le Fort-à-la-Corne en Saskatchewan (1753),53.109369,-104.878789
